product_class,Month,sales_volume
C1006,5/1/2015,10537
C1006,6/1/2015,10498
C1006,7/1/2015,11548
C1006,8/1/2015,11691
C1006,9/1/2015,10618
C1006,10/1/2015,13561
C1006,11/1/2015,12445
C1006,12/1/2015,14069
C1006,1/1/2016,12374
C1006,2/1/2016,11522
C1006,3/1/2016,13313
C1006,4/1/2016,13465
C1006,5/1/2016,11944
C1006,6/1/2016,10934
C1006,7/1/2016,11263
C1006,8/1/2016,10253
C1006,9/1/2016,9975
C1006,10/1/2016,10676
C1006,11/1/2016,11513
C1006,12/1/2016,14035
C1006,1/1/2017,11807
C1006,2/1/2017,9881
C1006,3/1/2017,10718
C1006,4/1/2017,10190
C1006,5/1/2017,8633
C1006,6/1/2017,6654
C1006,7/1/2017,7959
C1008,1/1/2013,10909
C1008,2/1/2013,10325
C1008,3/1/2013,11929
C1008,4/1/2013,11365
C1008,5/1/2013,12028
C1008,6/1/2013,11804
C1008,7/1/2013,11560
C1008,8/1/2013,11431
C1008,9/1/2013,11732
C1008,10/1/2013,12044
C1008,11/1/2013,13000
C1008,12/1/2013,11508
C1008,1/1/2014,10631
C1008,2/1/2014,10615
C1008,3/1/2014,12219
C1008,4/1/2014,11407
C1008,5/1/2014,11761
C1008,6/1/2014,10115
C1008,7/1/2014,11005
C1008,8/1/2014,11960
C1008,9/1/2014,11924
C1008,10/1/2014,11771
C1008,11/1/2014,13374
C1008,12/1/2014,11312
C1008,1/1/2015,12189
C1008,2/1/2015,10911
C1008,3/1/2015,14286
C1008,4/1/2015,15127
C1008,5/1/2015,35981
C1008,6/1/2015,42928
C1008,7/1/2015,49714
C1008,8/1/2015,47961
C1008,9/1/2015,45294
C1008,10/1/2015,46633
C1008,11/1/2015,52107
C1008,12/1/2015,46019
C1008,1/1/2016,49839
C1008,2/1/2016,45292
C1008,3/1/2016,47134
C1008,4/1/2016,63797
C1008,5/1/2016,48930
C1008,6/1/2016,41396
C1008,7/1/2016,47495
C1008,8/1/2016,41126
